HPO编码,标准名称（英文）,定义（英文）,标准名称（中文）,定义（中文）
HP:0004201,obsolete Expanded proximal phalanx of the ring finger,,,
HP:0004202,obsolete Lytic defects of the proximal phalanx of the ring finger,,,
HP:0004203,obsolete Short proximal phalanx of the ring finger,,,
HP:0004355,obsolete Abnormality of proteoglycan metabolism,,,
HP:0004367,obsolete Abnormality of glycoprotein metabolism,,,
HP:0004478,obsolete Ethmoidal encephalocele,,,
HP:0004495,obsolete Thin anteverted nares,,,
HP:0004496,obsolete Posterior choanal atresia,,,
HP:0004544,obsolete Pointed frontal hairline,,,
HP:0004759,obsolete Nodular calcific aortic valve disease,,,
HP:0004760,obsolete Congenital septal defect,,,
HP:0004782,obsolete Hypotrichosis of the scalp,,,
HP:0004928,obsolete Peripheral arterial stenosis,,,
HP:0004929,obsolete Coronary atherosclerosis,,,
HP:0004953,obsolete Dilatation of abdominal aorta,,,
HP:0004954,obsolete Dilatation of the descending aorta,,,
HP:0004986,obsolete Rudimentary to absent fibulae,,,
HP:0005099,obsolete Severe hydrops fetalis,,,
HP:0005111,obsolete Dilatation of the ascending aorta,,,
HP:0005114,obsolete Abnormalities of the peripheral arteries,,,
HP:0005130,obsolete Restrictive heart failure,,,
HP:0005141,obsolete Episodes of ventricular tachycardia,,,
HP:0005173,obsolete Calcific aortic valve stenosis,,,
HP:0005296,obsolete Occlusive vascular disease,,,
HP:0005298,obsolete Atrioventricular canal defect with right ventricle aorta and pulmonary atresia,,,
HP:0005299,obsolete Premature peripheral vascular disease,,,
HP:0005309,obsolete Peripheral vascular insufficiency,,,
HP:0005315,obsolete Peripheral artery occlusive disease,,,
HP:0005364,obsolete Severe viral infections,,,
HP:0005375,obsolete Partial cellular immunodeficiency,,,
HP:0005379,obsolete Severe T lymphocytopenia,,,
HP:0005397,obsolete Exaggerated cellular immune processes,,,
HP:0005402,obsolete Primary T-lymphocyte immune abnormalities,,,
HP:0005409,obsolete Markedly reduced T cell function,,,
HP:0005549,obsolete Congenital neutropenia,,,
HP:0005692,obsolete Joint hyperflexibility,,,
HP:0005744,obsolete Generalized osteoporosis with pathologic fractures,,,
HP:0005794,obsolete Arterial disease of legs,,,
HP:0005833,obsolete Joint swelling onset late infancy,,,
HP:0005834,obsolete Thumbs hypo/aplastic,,,
HP:0005837,obsolete Joint dislocations in young adult,,,
HP:0005899,obsolete Metaphyseal dysostosis,,,
