code,chinese_name,english_name
A15.5,喉、氣管及支氣管結核,"Tuberculosis of larynx, trachea and bronchus"
A15.6,結核性肋膜炎,Tuberculous pleurisy
A15.7,原發性結核,Primary respiratory tuberculosis
A15.8,其他呼吸道結核,Other respiratory tuberculosis
A15.9,呼吸道結核病,Respiratory tuberculosis unspecified
A17,神經系統結核病,Tuberculosis of nervous system
A17.0,結核性腦膜炎,Tuberculous meningitis
A17.1,腦膜性結核瘤,Meningeal tuberculoma
A17.8,其他神經系統結核病,Other tuberculosis of nervous system
A17.81,腦和脊髓之結核瘤,Tuberculoma of brain and spinal cord
A17.82,結核性腦膜腦炎,Tuberculous meningoencephalitis
A17.83,結核性神經炎,Tuberculous neuritis
A17.89,其他神經系統結核病,Other tuberculosis of nervous system
A17.9,神經系統結核病,"Tuberculosis of nervous system, unspecified"
A18,其他器官結核病,Tuberculosis of other organs
A18.0,骨骼及關節結核病,Tuberculosis of bones and joints
A18.01,脊椎結核病,Tuberculosis of spine
A18.02,其他關節之結核性關節炎,Tuberculous arthritis of other joints
A18.03,其他骨骼結核病,Tuberculosis of other bones
A18.09,其他肌肉骨骼結核病,Other musculoskeletal tuberculosis
A18.1,生殖泌尿系統結核病,Tuberculosis of genitourinary system
A18.10,生殖泌尿系統結核,"Tuberculosis of genitourinary system, unspecified"
A18.11,腎和輸尿管結核,Tuberculosis of kidney and ureter
A18.12,膀胱結核,Tuberculosis of bladder
A18.13,其他泌尿器官結核,Tuberculosis of other urinary organs
A18.14,前列腺結核,Tuberculosis of prostate
A18.15,其他男性生殖器官結核,Tuberculosis of other male genital organs
A18.16,子宮頸結核,Tuberculosis of cervix
A18.17,女性結核性骨盆腔炎性疾病,Tuberculous female pelvic inflammatory disease
A18.18,其他女性生殖器官結核,Tuberculosis of other female genital organs
A18.2,結核性周邊淋巴腺病變,Tuberculous peripheral lymphadenopathy
A18.3,腸道、腹膜及腸繫膜腺體結核病,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A18.31,結核性腹膜炎,Tuberculous peritonitis
A18.32,結核性腸炎,Tuberculous enteritis
A18.39,腹膜後結核病,Retroperitoneal tuberculosis
A18.4,皮膚和皮下組織之結核病,Tuberculosis of skin and subcutaneous tissue
A18.5,眼結核病,Tuberculosis of eye
A18.50,眼結核,"Tuberculosis of eye, unspecified"
A18.51,結核性上鞏膜炎,Tuberculous episcleritis
A18.52,結核性角膜炎,Tuberculous keratitis
A18.53,結核性脈絡膜網膜炎,Tuberculous chorioretinitis
A18.54,結核性虹膜睫狀體炎,Tuberculous iridocyclitis
A18.59,其他眼結核,Other tuberculosis of eye
A18.6,耳（內耳）（中耳）結核,Tuberculosis of (inner) (middle) ear
A18.7,腎上腺結核,Tuberculosis of adrenal glands
A18.8,其他特定器官結核病,Tuberculosis of other specified organs
A18.81,甲狀腺結核,Tuberculosis of thyroid gland
A18.82,其他內分泌腺體結核,Tuberculosis of other endocrine glands
A18.83,消化道器官結核，他處未歸類者,"Tuberculosis of digestive tract organs, not elsewhere classified"
A18.84,心臟結核,Tuberculosis of heart
A18.85,脾結核,Tuberculosis of spleen
A18.89,其他部位結核,Tuberculosis of other sites
A19,粟粒性結核病,Miliary tuberculosis
A19.0,單一部位之急性粟粒性結核,Acute miliary tuberculosis of a single specified site
A19.1,多重(發)部位之急性粟粒性結核,Acute miliary tuberculosis of multiple sites
A19.2,急性粟粒狀結核,"Acute miliary tuberculosis, unspecified"
A19.8,其他粟粒狀結核,Other miliary tuberculosis
A19.9,粟粒狀結核,"Miliary tuberculosis, unspecified"
A20,鼠疫,Plague
A20.0,腺鼠疫,Bubonic plague
A20.1,蜂窩組織皮膚性鼠疫,Cellulocutaneous plague
A20.2,肺炎型鼠疫,Pneumonic plague
A20.3,鼠疫腦膜炎,Plague meningitis
A20.7,敗血性鼠疫,Septicemic plague
A20.8,其他型鼠疫,Other forms of plague
A20.9,鼠疫,"Plague, unspecified"
A21,兔熱病,Tularemia
A21.0,潰瘍腺體型兔熱病,Ulceroglandular tularemia
A21.1,眼腺體型兔熱病,Oculoglandular tularemia
A21.2,肺型兔熱病,Pulmonary tularemia
A21.3,胃腸型兔熱病,Gastrointestinal tularemia
A21.7,廣泛性兔熱病,Generalized tularemia
A21.8,其他型兔熱病,Other forms of tularemia
A21.9,兔熱病,"Tularemia, unspecified"
A22,炭疽病,Anthrax
A22.0,皮膚炭疽病,Cutaneous anthrax
A22.1,肺炭疽病,Pulmonary anthrax
A22.2,腸胃炭疽病,Gastrointestinal anthrax
A22.7,炭疽性敗血症,Anthrax sepsis
A22.8,其他型炭疽病,Other forms of anthrax
A22.9,炭疽病,"Anthrax, unspecified"
A23,布魯士桿菌病,Brucellosis
A23.0,地中海型布魯士桿菌所致之布魯士桿菌病,Brucellosis due to Brucella melitensis
A23.1,流產型布魯士桿菌所致之布魯士桿菌病,Brucellosis due to Brucella abortus
A23.2,豚型布魯士桿菌所致病魯士桿菌病,Brucellosis due to Brucella suis
A23.3,犬型布魯士桿菌所致之布魯士桿菌病,Brucellosis due to Brucella canis
A23.8,其他布魯士桿菌病,Other brucellosis
A23.9,布魯士桿菌病,"Brucellosis, unspecified"
A24,馬鼻疽及類鼻疽病,Glanders and melioidosis
A24.0,馬鼻疽,Glanders
A24.1,急性及猛爆型類鼻疽病,Acute and fulminating melioidosis
A24.2,亞急性和慢性類鼻疽病,Subacute and chronic melioidosis
A24.3,其他類鼻疽病,Other melioidosis
A24.9,類鼻疽病,"Melioidosis, unspecified"
A25,鼠咬熱,Rat-bite fevers
A25.0,螺旋菌病,Spirillosis
A25.1,鏈桿菌病,Streptobacillosis
A25.9,鼠咬熱,"Rat-bite fever, unspecified"
A26,類丹毒,Erysipeloid
A26.0,皮膚類丹毒,Cutaneous erysipeloid
A26.7,單毒絲狀菌敗血症,Erysipelothrix sepsis
A26.8,其他型類丹毒,Other forms of erysipeloid
A26.9,類丹毒,"Erysipeloid, unspecified"
A27,鉤端螺旋體病,Leptospirosis
A27.0,黃疸出血性鉤端螺旋體病,Leptospirosis icterohemorrhagica
A27.8,其他型鉤端螺旋體病,Other forms of leptospirosis
A27.81,鉤端螺旋體引起之無菌性腦膜炎,Aseptic meningitis in leptospirosis
A27.89,其他型細鉤端螺旋體病,Other forms of leptospirosis
A27.9,細鉤端螺旋體病,"Leptospirosis, unspecified"
A28,其他人畜共通細菌性傳染病，他處未歸類者,"Other zoonotic bacterial diseases, not elsewhere classified"
A28.0,巴斯德桿菌病,Pasteurellosis
A28.1,貓抓病,Cat-scratch disease
A28.2,腸道外耶希尼菌病,Extraintestinal yersiniosis
A28.8,其他特定之細菌性人畜共通傳染病，他處未歸類者,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A28.9,人畜共通細菌性傳染病,"Zoonotic bacterial disease, unspecified"
A30,痲瘋 [漢生氏病],Leprosy [Hansen's disease]
A30.0,未定型痲瘋(癩病),Indeterminate leprosy
A30.1,類結核型痲瘋(癩病),Tuberculoid leprosy
A30.2,邊緣性結核痲瘋(癩病),Borderline tuberculoid leprosy
A30.3,邊際型痲瘋(癩病),Borderline leprosy
A30.4,邊際型癩瘤型痲瘋(癩病),Borderline lepromatous leprosy
A30.5,癩病瘤型痲瘋(癩病),Lepromatous leprosy
A30.8,其他型痲瘋(癩病),Other forms of leprosy
A30.9,痲瘋(癩病),"Leprosy, unspecified"
A31,其他分枝桿菌感染,Infection due to other mycobacteria
A31.0,肺分枝桿菌感染,Pulmonary mycobacterial infection
A31.1,皮膚分枝桿菌感染,Cutaneous mycobacterial infection
A31.2,擴散性禽-細胞內複合型分枝桿菌症,Disseminated mycobacterium avium-intracellulare complex (DMAC)
A31.8,其他分枝桿菌感染,Other mycobacterial infections
A31.9,分枝桿菌感染,"Mycobacterial infection, unspecified"
A32,李斯特菌病,Listeriosis
A32.0,皮膚李斯特菌病,Cutaneous listeriosis
A32.1,李斯特菌性腦膜炎及腦膜腦炎,Listerial meningitis and meningoencephalitis
A32.11,李斯特菌性腦膜炎,Listerial meningitis
A32.12,李司特菌性腦膜腦炎,Listerial meningoencephalitis
A32.7,李司特菌性敗血症,Listerial sepsis
A32.8,其他型李斯特菌,Other forms of listeriosis
