code,chinese_name,english_name
M11.872,左側踝部及足部其他特定結晶性關節病變,"Other specified crystal arthropathies, left ankle and foot"
M11.879,未明示側性踝部及足部其他特定結晶性關節病變,"Other specified crystal arthropathies, unspecified ankle and foot"
M11.88,脊椎其他特定結晶性關節病變,"Other specified crystal arthropathies, vertebrae"
M11.89,多處部位其他特定結晶性關節病變,"Other specified crystal arthropathies, multiple sites"
M11.9,結晶性關節病變,"Crystal arthropathy, unspecified"
M12,其他特定關節病變,Other and unspecified arthropathy
M12.0,慢性風濕後關節病變[Jaccoud 氏],Chronic postrheumatic arthropathy [Jaccoud]
M12.00,未明示部位慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], unspecified site"
M12.01,肩部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], shoulder"
M12.011,右側肩部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], right shoulder"
M12.012,左側肩部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], left shoulder"
M12.019,未明示側性肩部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], unspecified shoulder"
M12.02,肘部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], elbow"
M12.021,右側肘部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], right elbow"
M12.022,左側肘部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], left elbow"
M12.029,未明示側性肘部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], unspecified elbow"
M12.03,腕部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], wrist"
M12.031,右側腕部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], right wrist"
M12.032,左側腕部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], left wrist"
M12.039,未明示側性腕部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], unspecified wrist"
M12.04,手部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], hand"
M12.041,右側手部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], right hand"
M12.042,左側手部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], left hand"
M12.049,未明示側性手部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], unspecified hand"
M12.05,髖部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], hip"
M12.051,右側髖部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], right hip"
M12.052,左側髖部其他特定結晶性關節病變,"Chronic postrheumatic arthropathy [Jaccoud], left hip"
M12.059,未明示側性髖部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], unspecified hip"
M12.06,膝部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], knee"
M12.061,右側膝部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], right knee"
M12.062,左側膝部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], left knee"
M12.069,未明示側性膝部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], unspecified knee"
M12.07,踝部及足部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], ankle and foot"
M12.071,右側踝部及足部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], right ankle and foot"
M12.072,左側踝部及足部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], left ankle and foot"
M12.079,未明示側性踝部及足部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], unspecified ankle and foot"
M12.08,其他特定部位踝部及足部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], other specified site"
M12.09,多處部位踝部及足部慢性風濕後關節病變[Jaccoud 氏],"Chronic postrheumatic arthropathy [Jaccoud], multiple sites"
M12.1,Kaschin-Beck氏病,Kaschin-Beck disease
M12.10,未明示部位Kaschin-Beck氏病,"Kaschin-Beck disease, unspecified site"
M12.11,肩部Kaschin-Beck氏病,"Kaschin-Beck disease, shoulder"
M12.111,右側肩部Kaschin-Beck氏病,"Kaschin-Beck disease, right shoulder"
M12.112,左側肩部Kaschin-Beck氏病,"Kaschin-Beck disease, left shoulder"
M12.119,未明示側性肩部Kaschin-Beck氏病,"Kaschin-Beck disease, unspecified shoulder"
M12.12,肘部Kaschin-Beck氏病,"Kaschin-Beck disease, elbow"
M12.121,右側肘部Kaschin-Beck氏病,"Kaschin-Beck disease, right elbow"
M12.122,左側肘部Kaschin-Beck氏病,"Kaschin-Beck disease, left elbow"
M12.129,未明示側性肘部Kaschin-Beck氏病,"Kaschin-Beck disease, unspecified elbow"
M12.13,腕部Kaschin-Beck氏病,"Kaschin-Beck disease, wrist"
M12.131,右側腕部Kaschin-Beck氏病,"Kaschin-Beck disease, right wrist"
M12.132,左側腕部Kaschin-Beck氏病,"Kaschin-Beck disease, left wrist"
M12.139,未明示側性腕部Kaschin-Beck氏病,"Kaschin-Beck disease, unspecified wrist"
M12.14,手部Kaschin-Beck氏病,"Kaschin-Beck disease, hand"
M12.141,右側手部Kaschin-Beck氏病,"Kaschin-Beck disease, right hand"
M12.142,左側手部Kaschin-Beck氏病,"Kaschin-Beck disease, left hand"
M12.149,未明示側性手部Kaschin-Beck氏病,"Kaschin-Beck disease, unspecified hand"
M12.15,髖部Kaschin-Beck氏病,"Kaschin-Beck disease, hip"
M12.151,右側髖部Kaschin-Beck氏病,"Kaschin-Beck disease, right hip"
M12.152,左側髖部Kaschin-Beck氏病,"Kaschin-Beck disease, left hip"
M12.159,未明示側性髖部Kaschin-Beck氏病,"Kaschin-Beck disease, unspecified hip"
M12.16,膝部Kaschin-Beck氏病,"Kaschin-Beck disease, knee"
M12.161,右側膝部Kaschin-Beck氏病,"Kaschin-Beck disease, right knee"
M12.162,左側膝部Kaschin-Beck氏病,"Kaschin-Beck disease, left knee"
M12.169,未明示側性膝部Kaschin-Beck氏病,"Kaschin-Beck disease, unspecified knee"
M12.17,踝部及足部Kaschin-Beck氏病,"Kaschin-Beck disease, ankle and foot"
M12.171,右側踝部及足部Kaschin-Beck氏病,"Kaschin-Beck disease, right ankle and foot"
M12.172,左側踝部及足部Kaschin-Beck氏病,"Kaschin-Beck disease, left ankle and foot"
M12.179,未明示側性踝部及足部Kaschin-Beck氏病,"Kaschin-Beck disease, unspecified ankle and foot"
M12.18,脊椎Kaschin-Beck氏病,"Kaschin-Beck disease, vertebrae"
M12.19,多處部位Kaschin-Beck氏病,"Kaschin-Beck disease, multiple sites"
M12.2,絨毛結節性滑膜炎(色素沈著性),Villonodular synovitis (pigmented)
M12.20,未明示部位絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), unspecified site"
M12.21,肩部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), shoulder"
M12.211,右側肩部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), right shoulder"
M12.212,左側肩部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), left shoulder"
M12.219,未明示側性肩部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), unspecified shoulder"
M12.22,肘部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), elbow"
M12.221,右側肘部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), right elbow"
M12.222,左側肘部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), left elbow"
M12.229,未明示側性肘部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), unspecified elbow"
M12.23,腕部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), wrist"
M12.231,右側腕部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), right wrist"
M12.232,左側腕部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), left wrist"
M12.239,未明示側性腕部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), unspecified wrist"
M12.24,手部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), hand"
M12.241,右側手部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), right hand"
M12.242,左側手部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), left hand"
M12.249,未明示側性手部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), unspecified hand"
M12.25,髖部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), hip"
M12.251,右側髖部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), right hip"
M12.252,左側髖部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), left hip"
M12.259,未明示側性髖部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), unspecified hip"
M12.26,膝部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), knee"
M12.261,右側膝部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), right knee"
M12.262,左側膝部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), left knee"
M12.269,未明示側性膝部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), unspecified knee"
M12.27,踝部及足部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), ankle and foot"
M12.271,右側踝部及足部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), right ankle and foot"
M12.272,左側踝部及足部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), left ankle and foot"
M12.279,未明示側性踝部及足部絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), unspecified ankle and foot"
M12.28,其他特定部位絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), other specified site"
M12.29,多處部位絨毛結節性滑膜炎(色素沈著性),"Villonodular synovitis (pigmented), multiple sites"
M12.3,復發性風濕病,Palindromic rheumatism
M12.30,未明示部位復發性風濕病,"Palindromic rheumatism, unspecified site"
M12.31,肩部復發性風濕病,"Palindromic rheumatism, shoulder"
M12.311,右側肩部復發性風濕病,"Palindromic rheumatism, right shoulder"
M12.312,左側肩部復發性風濕病,"Palindromic rheumatism, left shoulder"
M12.319,未明示側性肩部復發性風濕病,"Palindromic rheumatism, unspecified shoulder"
M12.32,肘部復發性風濕病,"Palindromic rheumatism, elbow"
M12.321,右側肘部復發性風濕病,"Palindromic rheumatism, right elbow"
M12.322,左側肘部復發性風濕病,"Palindromic rheumatism, left elbow"
M12.329,未明示側性肘部復發性風濕病,"Palindromic rheumatism, unspecified elbow"
M12.33,腕部復發性風濕病,"Palindromic rheumatism, wrist"
M12.331,右側腕部復發性風濕病,"Palindromic rheumatism, right wrist"
M12.332,左側腕部復發性風濕病,"Palindromic rheumatism, left wrist"
M12.339,未明示側性腕部復發性風濕病,"Palindromic rheumatism, unspecified wrist"
M12.34,手部復發性風濕病,"Palindromic rheumatism, hand"
M12.341,右側手部復發性風濕病,"Palindromic rheumatism, right hand"
M12.342,左側手部復發性風濕病,"Palindromic rheumatism, left hand"
M12.349,未明示側性手部復發性風濕病,"Palindromic rheumatism, unspecified hand"
M12.35,髖部復發性風濕病,"Palindromic rheumatism, hip"
M12.351,右側髖部復發性風濕病,"Palindromic rheumatism, right hip"
M12.352,左側髖部復發性風濕病,"Palindromic rheumatism, left hip"
M12.359,未明示側性髖部復發性風濕病,"Palindromic rheumatism, unspecified hip"
M12.36,膝部復發性風濕病,"Palindromic rheumatism, knee"
M12.361,右側膝部復發性風濕病,"Palindromic rheumatism, right knee"
M12.362,左側膝部復發性風濕病,"Palindromic rheumatism, left knee"
M12.369,未明示側性膝部復發性風濕病,"Palindromic rheumatism, unspecified knee"
M12.37,踝部及足部復發性風濕病,"Palindromic rheumatism, ankle and foot"
M12.371,右側踝部及足部復發性風濕病,"Palindromic rheumatism, right ankle and foot"
M12.372,左側踝部及足部復發性風濕病,"Palindromic rheumatism, left ankle and foot"
M12.379,未明示側性踝部及足部復發性風濕病,"Palindromic rheumatism, unspecified ankle and foot"
M12.38,其他特定部位復發性風濕病,"Palindromic rheumatism, other specified site"
M12.39,多處部位復發性風濕病,"Palindromic rheumatism, multiple sites"
M12.4,間歇性關節積水,Intermittent hydrarthrosis
M12.40,未明示部位間歇性關節積水,"Intermittent hydrarthrosis, unspecified site"
M12.41,肩部間歇性關節積水,"Intermittent hydrarthrosis, shoulder"
M12.411,右側肩部間歇性關節積水,"Intermittent hydrarthrosis, right shoulder"
M12.412,左側肩部間歇性關節積水,"Intermittent hydrarthrosis, left shoulder"
M12.419,未明示側性肩部間歇性關節積水,"Intermittent hydrarthrosis, unspecified shoulder"
M12.42,肘部間歇性關節積水,"Intermittent hydrarthrosis, elbow"
M12.421,右側肘部間歇性關節積水,"Intermittent hydrarthrosis, right elbow"
M12.422,左側肘部間歇性關節積水,"Intermittent hydrarthrosis, left elbow"
M12.429,未明示側性肘部間歇性關節積水,"Intermittent hydrarthrosis, unspecified elbow"
M12.43,腕部間歇性關節積水,"Intermittent hydrarthrosis, wrist"
M12.431,右側腕部間歇性關節積水,"Intermittent hydrarthrosis, right wrist"
M12.432,左側腕部間歇性關節積水,"Intermittent hydrarthrosis, left wrist"
M12.439,未明示側性腕部間歇性關節積水,"Intermittent hydrarthrosis, unspecified wrist"
M12.44,手部間歇性關節積水,"Intermittent hydrarthrosis, hand"
M12.441,右側手部間歇性關節積水,"Intermittent hydrarthrosis, right hand"
M12.442,左側手部間歇性關節積水,"Intermittent hydrarthrosis, left hand"
M12.449,未明示側性手部間歇性關節積水,"Intermittent hydrarthrosis, unspecified hand"
M12.45,髖部間歇性關節積水,"Intermittent hydrarthrosis, hip"
M12.451,右側髖部間歇性關節積水,"Intermittent hydrarthrosis, right hip"
M12.452,左側髖部間歇性關節積水,"Intermittent hydrarthrosis, left hip"
M12.459,未明示側性髖部間歇性關節積水,"Intermittent hydrarthrosis, unspecified hip"
M12.46,膝部間歇性關節積水,"Intermittent hydrarthrosis, knee"
M12.461,右側膝部間歇性關節積水,"Intermittent hydrarthrosis, right knee"
M12.462,左側膝部間歇性關節積水,"Intermittent hydrarthrosis, left knee"
M12.469,未明示側性膝部間歇性關節積水,"Intermittent hydrarthrosis, unspecified knee"
M12.47,踝部及足部間歇性關節積水,"Intermittent hydrarthrosis, ankle and foot"
M12.471,右側踝部及足部間歇性關節積水,"Intermittent hydrarthrosis, right ankle and foot"
M12.472,左側踝部及足部間歇性關節積水,"Intermittent hydrarthrosis, left ankle and foot"
M12.479,未明示側性踝部及足部間歇性關節積水,"Intermittent hydrarthrosis, unspecified ankle and foot"
M12.48,脊椎間歇性關節積水,"Intermittent hydrarthrosis, other site"
M12.49,多處部位間歇性關節積水,"Intermittent hydrarthrosis, multiple sites"
M12.5,創傷性關節病變,Traumatic arthropathy
M12.50,未明示部位創傷性關節病變,"Traumatic arthropathy, unspecified site"
M12.51,肩部創傷性關節病變,"Traumatic arthropathy, shoulder"
M12.511,右側肩部創傷性關節病變,"Traumatic arthropathy, right shoulder"
M12.512,左側肩部創傷性關節病變,"Traumatic arthropathy, left shoulder"
M12.519,未明示側性肩部創傷性關節病變,"Traumatic arthropathy, unspecified shoulder"
M12.52,肘部創傷性關節病變,"Traumatic arthropathy, elbow"
M12.521,右側肘部創傷性關節病變,"Traumatic arthropathy, right elbow"
M12.522,左側肘部創傷性關節病變,"Traumatic arthropathy, left elbow"
M12.529,未明示側性肘部創傷性關節病變,"Traumatic arthropathy, unspecified elbow"
M12.53,腕部創傷性關節病變,"Traumatic arthropathy, wrist"
M12.531,右側腕部創傷性關節病變,"Traumatic arthropathy, right wrist"
M12.532,左側腕部創傷性關節病變,"Traumatic arthropathy, left wrist"
M12.539,未明示側性腕部創傷性關節病變,"Traumatic arthropathy, unspecified wrist"
M12.54,手部創傷性關節病變,"Traumatic arthropathy, hand"
M12.541,右側手部創傷性關節病變,"Traumatic arthropathy, right hand"
M12.542,左側手部創傷性關節病變,"Traumatic arthropathy, left hand"
M12.549,未明示側性手部創傷性關節病變,"Traumatic arthropathy, unspecified hand"
M12.55,髖部創傷性關節病變,"Traumatic arthropathy, hip"
M12.551,右側髖部創傷性關節病變,"Traumatic arthropathy, right hip"
M12.552,左側髖部創傷性關節病變,"Traumatic arthropathy, left hip"
M12.559,未明示側性髖部創傷性關節病變,"Traumatic arthropathy, unspecified hip"
M12.56,膝部創傷性關節病變,"Traumatic arthropathy, knee"
M12.561,右側膝部創傷性關節病變,"Traumatic arthropathy, right knee"
M12.562,左側膝部創傷性關節病變,"Traumatic arthropathy, left knee"
M12.569,未明示側性膝部創傷性關節病變,"Traumatic arthropathy, unspecified knee"
M12.57,踝部及足部創傷性關節病變,"Traumatic arthropathy, ankle and foot"
M12.571,右側踝部及足部創傷性關節病變,"Traumatic arthropathy, right ankle and foot"
M12.572,左側踝部及足部創傷性關節病變,"Traumatic arthropathy, left ankle and foot"
M12.579,未明示側性踝部及足部創傷性關節病變,"Traumatic arthropathy, unspecified ankle and foot"
M12.58,其他特定部位創傷性關節病變,"Traumatic arthropathy, other specified site"
M12.59,多處部位創傷性關節病變,"Traumatic arthropathy, multiple sites"
M12.8,其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified"
M12.80,未明示部位其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, unspecified site"
M12.81,肩部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, shoulder"
M12.811,右側肩部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, right shoulder"
M12.812,左側肩部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, left shoulder"
M12.819,未明示側性肩部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, unspecified shoulder"
M12.82,肘部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, elbow"
M12.821,右側肘部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, right elbow"
M12.822,左側肘部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, left elbow"
M12.829,未明示側性肘部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, unspecified elbow"
M12.83,腕部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, wrist"
M12.831,右側腕部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, right wrist"
M12.832,左側腕部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, left wrist"
M12.839,未明示側性腕部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, unspecified wrist"
M12.84,手部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, hand"
M12.841,右側手部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, right hand"
M12.842,左側手部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, left hand"
M12.849,未明示側性手部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, unspecified hand"
M12.85,髖部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, hip"
M12.851,右側髖部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, right hip"
M12.852,左側髖部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, left hip"
M12.859,未明示側性髖部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, unspecified hip"
M12.86,膝部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, knee"
M12.861,右側膝部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, right knee"
M12.862,左側膝部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, left knee"
M12.869,未明示側性膝部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, unspecified knee"
M12.87,踝部及足部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, ankle and foot"
M12.871,右側踝部及足部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, right ankle and foot"
M12.872,左側踝部及足部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, left ankle and foot"
M12.879,未明示側性踝部及足部其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, unspecified ankle and foot"
M12.88,其他特定部位其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, other specified site"
M12.89,多處部位其他特定關節病變，他處未歸類者,"Other specific arthropathies, not elsewhere classified, multiple sites"
M12.9,關節病變,"Arthropathy, unspecified"
M13,其他關節炎,Other arthritis
M13.0,多發性關節炎,"Polyarthritis, unspecified"
M13.1,單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified"
M13.10,未明示部位單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, unspecified site"
M13.11,肩部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, shoulder"
M13.111,右側肩部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, right shoulder"
M13.112,左側肩部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, left shoulder"
M13.119,未明示側性肩部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, unspecified shoulder"
M13.12,肘部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, elbow"
M13.121,右側肘部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, right elbow"
M13.122,左側肘部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, left elbow"
M13.129,未明示側性肘部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, unspecified elbow"
M13.13,腕部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, wrist"
M13.131,右側腕部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, right wrist"
M13.132,左側腕部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, left wrist"
M13.139,未明示側性腕部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, unspecified wrist"
M13.14,手部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, hand"
M13.141,右側手部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, right hand"
M13.142,左側手部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, left hand"
M13.149,未明示側性手部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, unspecified hand"
M13.15,髖部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, hip"
M13.151,右側髖部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, right hip"
M13.152,左側髖部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, left hip"
M13.159,未明示側性髖部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, unspecified hip"
M13.16,膝部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, knee"
M13.161,右側膝部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, right knee"
M13.162,左側膝部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, left knee"
M13.169,未明示側性膝部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, unspecified knee"
M13.17,踝部及足部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, ankle and foot"
M13.171,右側踝部及足部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, right ankle and foot"
M13.172,左側踝部及足部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, left ankle and foot"
M13.179,未明示側性踝部及足部單發性關節炎，他處未歸類者,"Monoarthritis, not elsewhere classified, unspecified ankle and foot"
M13.8,其他特定關節炎,Other specified arthritis
M13.80,未明示部位其他特定關節炎,"Other specified arthritis, unspecified site"
M13.81,肩部其他特定關節炎,"Other specified arthritis, shoulder"
M13.811,右側肩部其他特定關節炎,"Other specified arthritis, right shoulder"
M13.812,左側肩部其他特定關節炎,"Other specified arthritis, left shoulder"
M13.819,未明示側性肩部其他特定關節炎,"Other specified arthritis, unspecified shoulder"
M13.82,肘部其他特定關節炎,"Other specified arthritis, elbow"
M13.821,右側肘部其他特定關節炎,"Other specified arthritis, right elbow"
M13.822,左側肘部其他特定關節炎,"Other specified arthritis, left elbow"
M13.829,未明示側性肘部其他特定關節炎,"Other specified arthritis, unspecified elbow"
M13.83,腕部其他特定關節炎,"Other specified arthritis, wrist"
M13.831,右側腕部其他特定關節炎,"Other specified arthritis, right wrist"
M13.832,左側腕部其他特定關節炎,"Other specified arthritis, left wrist"
M13.839,未明示側性腕部其他特定關節炎,"Other specified arthritis, unspecified wrist"
M13.84,手部其他特定關節炎,"Other specified arthritis, hand"
M13.841,右側手部其他特定關節炎,"Other specified arthritis, right hand"
M13.842,左側手部其他特定關節炎,"Other specified arthritis, left hand"
M13.849,未明示側性手部其他特定關節炎,"Other specified arthritis, unspecified hand"
M13.85,髖部其他特定關節炎,"Other specified arthritis, hip"
M13.851,右側髖部其他特定關節炎,"Other specified arthritis, right hip"
M13.852,左側髖部其他特定關節炎,"Other specified arthritis, left hip"
M13.859,未明示側性髖部其他特定關節炎,"Other specified arthritis, unspecified hip"
M13.86,膝部其他特定關節炎,"Other specified arthritis, knee"
M13.861,右側膝部其他特定關節炎,"Other specified arthritis, right knee"
M13.862,左側膝部其他特定關節炎,"Other specified arthritis, left knee"
M13.869,未明示側性膝部其他特定關節炎,"Other specified arthritis, unspecified knee"
M13.87,踝部及足部其他特定關節炎,"Other specified arthritis, ankle and foot"
M13.871,右側踝部及足部其他特定關節炎,"Other specified arthritis, right ankle and foot"
M13.872,左側踝部及足部其他特定關節炎,"Other specified arthritis, left ankle and foot"
M13.879,未明示側性踝部及足部其他特定關節炎,"Other specified arthritis, unspecified ankle and foot"
M13.88,其他部位其他特定關節炎,"Other specified arthritis, other site"
M13.89,多處部位其他特定關節炎,"Other specified arthritis, multiple sites"
M14,歸類於他處其他疾病所致的關節病變,Arthropathies in other diseases classified elsewhere
M14.6,Charcot氏關節,Charcot's joint
M14.60,未明示部位Charcot氏關節,"Charcot's joint, unspecified site"
M14.61,肩部Charcot氏關節,"Charcot's joint, shoulder"
M14.611,右側肩部Charcot氏關節,"Charcot's joint, right shoulder"
M14.612,左側肩部Charcot氏關節,"Charcot's joint, left shoulder"
M14.619,未明示側性肩部Charcot氏關節,"Charcot's joint, unspecified shoulder"
M14.62,肘部Charcot氏關節,"Charcot's joint, elbow"
M14.621,右側肘部Charcot氏關節,"Charcot's joint, right elbow"
M14.622,左側肘部Charcot氏關節,"Charcot's joint, left elbow"
M14.629,未明示側性肘部Charcot氏關節,"Charcot's joint, unspecified elbow"
M14.63,腕部Charcot氏關節,"Charcot's joint, wrist"
M14.631,右側腕部Charcot氏關節,"Charcot's joint, right wrist"
M14.632,左側腕部Charcot氏關節,"Charcot's joint, left wrist"
